Date,price,market_cap,total_volume
2021-01-01,0.6183411011114021,53474078.80848796,5865335.278779338
2021-01-02,0.6567741398750645,56889087.88150396,6297332.095286996
2021-01-03,0.6158351721136677,53788592.22325597,6190347.791190134
2021-01-04,0.632956052857177,57795653.06515399,6193308.253486324
2021-01-05,0.6303127120591054,55112273.2987037,6223879.4788563205
2021-01-06,0.6815321809754122,60898975.53641672,7241613.765262071
2021-01-07,0.6625512126401637,59541886.51311756,6501853.427286369
2021-01-08,0.597664632001183,54442953.81104383,6156882.477057807
2021-01-09,0.5796283579030623,53549829.92618346,6004851.870950199
2021-01-10,0.5766127910128809,54225965.850825705,4024109.159801361
2021-01-11,0.5482159821845546,51921847.69166947,4192317.8254530467
2021-01-12,0.4794469204778083,44074724.493027814,5797915.8677544305
2021-01-13,0.5256809962287885,48857961.2635375,4096330.7029865063
2021-01-14,0.6036518357493723,56893179.294771776,9228286.613062043
2021-01-15,0.6045675055491968,57365612.30524554,6035384.6927508125
2021-01-16,0.5945271234842471,57640702.31698741,5640387.127109728
2021-01-17,0.644292181642893,63121895.378699355,4971382.429412742
2021-01-18,0.6898355549966106,68712974.33867691,7303085.926202618
2021-01-19,0.7640366566107278,73957667.08879255,7153962.638743736
2021-01-20,0.7332040277262621,71713765.30645561,2261532.372674718
2021-01-21,0.7497200714628774,73767789.7174809,6895274.214115142
2021-01-22,0.698319342758748,70712807.83246571,9474325.921381231
2021-01-23,0.8767170471768617,88722050.54527241,11086434.606108256
2021-01-24,0.9748208354244428,100532208.66903557,14376556.477949917
2021-01-25,1.2022292082563537,124076140.18330011,14939056.808282712
2021-01-26,1.115386830585729,113711637.10979003,17424112.840085726
2021-01-27,1.2023722558299745,122808511.90524007,11376099.295340508
2021-01-28,1.3187121440808465,136521406.58905828,19342587.15794677
2021-01-29,1.5506514425340323,162976966.1174789,22624612.445687234
2021-01-30,1.4785181173996713,156579218.06873822,15015751.283655377
2021-01-31,1.619079647077736,173123470.7155839,16326800.06378464
2021-02-01,1.9882021161813006,214340206.83939996,36553890.07226415
2021-02-02,2.837715257074643,299821662.3327089,73986003.22877191
2021-02-03,2.3800738607560534,257146230.03534022,61070799.18911104
2021-02-04,2.35115843702022,255438325.59244618,51399066.893222354
2021-02-05,2.701191662201304,302003189.47906494,46564773.27059437
2021-02-06,3.0383344831897148,336580694.9050621,42347542.788167074
2021-02-07,3.2483621679539643,361147871.0907114,68676294.2545333
2021-02-08,3.1578551201799754,355508663.43114454,50579768.864665195
2021-02-09,4.110096115554644,452393140.9558152,60167674.21882913
