snapped_at,price,market_cap,total_volume
2020-09-29,1.0299789384972373,0.0,1968265.6108046842
2020-09-30,1.0299789384972373,0.0,1968265.6108046842
2020-10-01,0.43300933493259075,0.0,742184.1994361402
2020-10-02,0.41916155207822003,0.0,906714.8089907869
2020-10-03,0.5123253355608332,0.0,649340.9112844688
2020-10-04,0.6612502664916782,0.0,1146854.7217847814
2020-10-05,0.555437349686428,0.0,741603.3266731742
2020-10-06,0.4618737951711969,0.0,300256.89563215536
2020-10-07,0.49488918351457306,0.0,544240.4422151967
2020-10-08,0.5418926433223282,0.0,230309.39835741612
2020-10-09,0.5691051276120681,0.0,302744.66344741837
2020-10-10,0.6982272484534483,0.0,579414.0710078859
2020-10-11,0.7961837920464016,0.0,1260328.1200982651
2020-10-12,0.9415125609398537,0.0,821502.9242928987
2020-10-13,1.1091137806728624,0.0,1917994.2404504714
2020-10-14,0.8532190160092538,0.0,1660258.055230861
2020-10-15,0.8886746321111338,0.0,1806349.6238211573
2020-10-16,0.8797127456766175,0.0,861958.9450516859
2020-10-17,0.8191297845087103,0.0,898075.8437795304
2020-10-18,0.6112416401725953,0.0,899920.4200057816
2020-10-19,0.6125452947520772,0.0,1047667.599383462
2020-10-20,0.6148166839903392,0.0,977422.6761653183
2020-10-21,0.6187048820803408,20457503.752640683,539586.7004846904
2020-10-22,0.5744359158861039,19594134.339514595,3684346.6108770254
2020-10-23,0.6091046571919155,21495587.004924,2917849.3247873997
2020-10-24,0.654431611717114,23812255.383517165,3894414.9221962714
2020-10-25,0.5899627345543011,22169481.034300167,2633547.5910681803
2020-10-26,0.48105932968800147,18602541.612253644,3929259.916522965
2020-10-27,0.43653640139210864,17486229.426838074,7466150.767055118
2020-10-28,0.44627018591216827,18429746.074247092,3691604.8213752634
2020-10-29,0.40410455872434653,16999597.564747702,3437601.5837203045
2020-10-30,0.4140296883395125,17804173.898892935,2481196.457458109
2020-10-31,0.3984529371833564,17361602.852931064,2265541.2015975197
2020-11-01,0.3949189796621401,17477467.234332353,1025482.5244705302
2020-11-02,0.36214155249682384,16253210.551393164,964889.8205405571
2020-11-03,0.32088911083496297,14697145.486845512,2453140.573258875
2020-11-04,0.2824542828096037,13059829.718068883,5729875.131791944
2020-11-05,0.28378409813641514,13324138.904278154,1646590.6495140626
2020-11-06,0.28044831985045415,13341727.853657695,1068219.9832361238
2020-11-07,0.29567991969490587,14328688.812348846,2304075.801111599
2020-11-08,0.25863789558664124,12750700.935803097,1827986.5199662568
2020-11-09,0.24830435805074785,12378685.811892256,878329.0271969523
2020-11-10,0.2234015394212823,11321654.31870836,1842190.2748221194
2020-11-11,0.23518512595893573,12055326.73849008,1397640.8322842142
2020-11-12,0.2341436027405986,12159394.074468384,1136494.296906963
2020-11-13,0.2304458326337314,12112520.435835028,1243390.7893643482
2020-11-14,0.26440868342340873,14172007.995308511,1737681.2884301865
2020-11-15,0.25779996291623863,14046111.03038216,1104623.0693319112
2020-11-16,0.27070203634205925,14908762.569896711,1524455.771722411
2020-11-17,0.3017404144808936,16840400.815016795,2908072.9142949595
2020-11-18,0.3535065338025623,19963762.761909332,3353791.3076815377
2020-11-19,0.3099693369681189,17770137.998040654,2675207.434315323
2020-11-20,0.34694978552241706,20075490.94204225,2825127.917445891
