Data,BTC,ETH,BNB,ADA,LINK,SOL,DOT,UNI,LUNA,AVAX,ALGO,ATOM,EGLD,AAVE,COMP
2021-03-31,59095.80859375,1977.27685546875,335.212890625,1.189244031906128,30.233219146728516,19.084901809692383,37.67287826538086,28.739431381225586,18.516494750976562,28.418750762939453,1.3261090517044067,19.644237518310547,150.085205078125,377.6117858886719,451.3519592285156
2021-04-01,59384.3125,2143.2255859375,339.0077209472656,1.1965090036392212,32.53324890136719,19.810222625732422,41.164283752441406,30.17564582824707,18.566604614257812,29.117610931396484,1.3612699508666992,20.412689208984375,167.6265411376953,406.6922912597656,485.387451171875
2021-04-02,57603.890625,2028.4224853515625,323.1335144042969,1.1732770204544067,29.534889221191406,22.552276611328125,41.64603042602539,29.549884796142578,18.14192771911621,28.251848220825195,1.2695469856262207,20.268381118774414,158.69137573242188,385.4205627441406,480.8304138183594
2021-04-03,58758.5546875,2093.122802734375,351.6243896484375,1.1914199590682983,30.9572811126709,24.061323165893555,44.6522102355957,31.065555572509766,18.347497940063477,29.3297119140625,1.3149319887161255,21.73773193359375,168.69483947753906,404.3097229003906,552.17724609375
2021-04-04,59057.87890625,2107.88720703125,367.7724914550781,1.2143000364303589,32.39665603637695,22.984283447265625,45.7972297668457,30.794845581054688,17.560474395751953,31.246593475341797,1.4050110578536987,21.462709426879883,166.7383270263672,397.924560546875,511.3307189941406
2021-04-05,58192.359375,2118.37890625,403.59075927734375,1.2553540468215942,34.79787826538086,24.95714569091797,43.430198669433594,31.3227481842041,16.733224868774414,31.554494857788086,1.4008500576019287,21.77348518371582,192.16619873046875,383.98992919921875,483.7973937988281
2021-04-06,56048.9375,1971.0772705078125,374.6588134765625,1.1751489639282227,31.17518424987793,26.47808074951172,39.59401321411133,28.59392547607422,15.46347427368164,29.476511001586914,1.3038699626922607,19.58304786682129,173.2487335205078,350.9958190917969,443.2374572753906
2021-04-07,58323.953125,2088.57373046875,418.03839111328125,1.2194360494613647,32.74489974975586,27.033987045288086,41.36595153808594,30.222431182861328,15.745903968811035,30.764034271240234,1.3491289615631104,20.519001007080078,180.4528350830078,377.9311828613281,457.1944580078125
2021-04-08,58245.00390625,2072.10888671875,453.178466796875,1.2035399675369263,31.63246726989746,27.778274536132812,40.849308013916016,29.562219619750977,15.67758560180664,31.532609939575195,1.3942450284957886,21.399585723876953,194.30374145507812,359.48358154296875,454.4427185058594
2021-04-09,59793.234375,2135.942138671875,472.5603332519531,1.2187579870224,31.899261474609375,26.84140396118164,41.62615203857422,29.792390823364258,15.51254653930664,31.803802490234375,1.3934069871902466,21.055864334106445,209.291259765625,367.2633361816406,452.3223876953125
2021-04-10,60204.96484375,2157.656982421875,525.3855590820312,1.2667349576950073,33.91918182373047,27.9318904876709,41.423397064208984,29.979101181030273,15.141955375671387,31.60232162475586,1.5204880237579346,23.345903396606445,239.23619079589844,373.3787536621094,461.1546936035156
2021-04-11,59893.453125,2139.353271484375,598.72265625,1.3161269426345825,33.10542678833008,28.512123107910156,40.49749755859375,36.75481414794922,14.639739036560059,33.883968353271484,1.4823789596557617,22.046228408813477,225.55191040039062,396.5361328125,465.3702087402344
2021-04-12,63503.45703125,2299.187744140625,549.5865478515625,1.4117859601974487,35.456634521484375,27.4355525970459,42.94791030883789,35.322261810302734,15.618185043334961,33.67353057861328,1.5152360200881958,23.865888595581055,212.38404846191406,398.2839050292969,484.8907165527344
2021-04-13,63109.6953125,2435.10498046875,549.5918579101562,1.4554200172424316,41.423709869384766,26.47511100769043,42.64084243774414,36.151065826416016,15.302223205566406,38.462867736816406,1.4661200046539307,27.101285934448242,226.6510009765625,430.4162292480469,485.2334899902344
2021-04-14,63314.01171875,2519.1162109375,542.632080078125,1.4815880060195923,42.7531623840332,27.818313598632812,43.515968322753906,37.84836959838867,16.886905670166016,37.143062591552734,1.5743780136108398,27.97422218322754,226.83053588867188,466.1648254394531,563.806884765625
2021-04-15,61572.7890625,2431.946533203125,510.2201843261719,1.4169490337371826,42.10155487060547,25.39736557006836,41.5379753112793,36.279659271240234,15.79843807220459,35.631317138671875,1.5098190307617188,25.57723045349121,211.38494873046875,442.19439697265625,566.8579711914062
2021-04-16,60683.8203125,2344.89501953125,520.416748046875,1.3848689794540405,40.372066497802734,25.09987449645996,42.53594970703125,35.09549331665039,15.339083671569824,34.341453552246094,1.6978540420532227,24.64755630493164,215.82717895507812,430.1746826171875,541.6123657226562
2021-04-17,56216.18359375,2237.136962890625,481.03424072265625,1.275501012802124,39.06591033935547,32.30291748046875,37.34743118286133,31.746318817138672,13.398308753967285,29.253093719482422,1.4540380239486694,21.377643585205078,189.7672119140625,382.0751037597656,486.5860290527344
2021-04-18,55724.265625,2166.188720703125,505.0929260253906,1.1979589462280273,35.8793830871582,31.67589569091797,34.81666946411133,31.446096420288086,13.90625,26.283065795898438,1.2934010028839111,19.2856388092041,168.95016479492188,346.81256103515625,478.1747741699219
2021-04-19,56473.03125,2330.2109375,587.0291137695312,1.2659339904785156,38.95063400268555,31.77005386352539,35.444435119628906,31.96318817138672,13.432103157043457,27.34795379638672,1.291139006614685,21.250104904174805,174.91429138183594,361.6081848144531,484.75640869140625
2021-04-20,53906.08984375,2364.751708984375,546.0235595703125,1.2067350149154663,36.43635940551758,32.51304244995117,33.871028900146484,33.60398864746094,13.281159400939941,25.90350341796875,1.2128080129623413,19.635147094726562,181.46449279785156,354.138427734375,492.2273254394531
