Date,DOT1-USD
2021-06-01,22.81084632873535
2021-06-02,25.957727432250977
2021-06-03,27.013458251953125
2021-06-04,25.008298873901367
2021-06-05,23.816770553588867
2021-06-06,24.20159912109375
2021-06-07,21.6269588470459
2021-06-08,21.745269775390625
2021-06-09,23.184938430786133
2021-06-10,22.684816360473633
2021-06-11,20.985857009887695
2021-06-12,20.777036666870117
2021-06-13,22.07633399963379
2021-06-14,22.20535659790039
2021-06-15,24.760835647583008
2021-06-16,22.97217559814453
2021-06-17,22.51145362854004
2021-06-18,21.398895263671875
2021-06-19,20.355941772460938
2021-06-20,20.67236328125
2021-06-21,15.769904136657715
2021-06-22,14.652412414550781
2021-06-23,16.14249038696289
2021-06-24,16.253658294677734
2021-06-25,14.467696189880371
2021-06-26,14.499611854553223
2021-06-27,15.015593528747559
2021-06-28,15.740378379821777
2021-06-29,16.25337028503418
2021-06-30,16.40219497680664
2021-07-01,15.278964042663574
2021-07-02,15.340773582458496
2021-07-03,15.553715705871582
2021-07-04,16.014026641845703
2021-07-05,15.23558235168457
2021-07-06,16.143564224243164
2021-07-07,16.857789993286133
2021-07-08,15.337747573852539
2021-07-09,15.669268608093262
2021-07-10,15.290839195251465
2021-07-11,15.48243522644043
2021-07-12,14.873132705688477
2021-07-13,14.18964958190918
2021-07-14,13.799570083618164
2021-07-15,13.08484935760498
2021-07-16,12.053826332092285
2021-07-17,12.292176246643066
2021-07-18,12.682146072387695
2021-07-19,11.425251007080078
2021-07-20,10.98121166229248
2021-07-21,12.305878639221191
2021-07-22,13.161491394042969
2021-07-23,13.397968292236328
2021-07-24,13.805340766906738
2021-07-25,13.712599754333496
2021-07-26,13.951711654663086
2021-07-27,14.37607192993164
2021-07-28,14.538834571838379
2021-07-29,15.236948013305664
2021-07-30,15.838522911071777
2021-07-31,16.847204208374023
2021-08-01,18.413965225219727
2021-08-02,18.017284393310547
2021-08-03,17.33682632446289
2021-08-04,19.16309356689453
2021-08-05,19.13237190246582
2021-08-06,20.400678634643555
